50px 	Жашків 	Черкаська область 	15 853 	1636 	130.00
50px 	Жданівка 	Донецька область 	13 688 	1924 	2.00
50px 	Жидачів 	Львівська область 	11 798 	1164 	13.00
50px 	Житомир 	Житомирська область 	284 236 	884 	61.00
50px 	Жмеринка 	Вінницька область 	37 349 	Шаблон:Sort 	18.26
50px 	Жовква 	Львівська область 	13 474 	1597 	7.60
50px 	Жовті Води 	Дніпропетровська область 	53 582 	1895 	33.25
50px 	Заводське 	Полтавська область 	9 024 	1928 	13.00
50px 	Залізне 	Донецька область 	6 725 	1894 	7.00
50px 	Заліщики 	Тернопільська область 	10 125 	1340 	7.00
50px 	Запоріжжя 	Запорізька область 	815 256 	1770 	331.00
50px 	Заставна 	Чернівецька область 	8 866 	1589 	9.00
50px 	Збараж 	Тернопільська область 	13 228 	1211 	7.00
50px 	Зборів 	Тернопільська область 	7 436 	1241 	3.00
50px 	Звенигородка 	Черкаська область 	19 901 	1394 	20.80
50px 	Здолбунів 	Рівненська область 	24 612 	1497 [1] 	12.50
50px 	Зеленодольськ 	Дніпропетровська область 	14 792 	1961 	16.60
50px 	Зимогір'я 	Луганська область 	11 295 	1645 	8.56
50px 	Зіньків 	Полтавська область 	10 577 	1604 	11.00
50px 	Зміїв 	Харківська область 	17 063 	1604 	55.80
50px 	Знам'янка 	Кіровоградська область 	29 412 	1869 	14.80
50px 	Золоте 	Луганська область 	17 836 	1903 	24.90
50px 	Золотоноша 	Черкаська область 	28 793 	1576 	21.65
50px 	Золочів 	Львівська область 	23 481 	1424 [1] 	11.65
50px 	Зоринськ 	Луганська область 	8 838 	1930 	9.00
50px 	Зугрес 	Донецька область 	19 859 	1929 	14.50
50px 	Івано-Франківськ 	Івано-Франківська область 	218 359 	1662 	83.70
50px 	Ізмаїл 	Одеська область 	84 815 	1812 	53.60
50px 	Ізюм 	Харківська область 	56 114 	1681 	43.60
50px 	Ізяслав 	Хмельницька область 	18 444 	1390 [1] 	23.91
50px 	Іллінці 	Вінницька область 	11 186 	1440 	10.87
50px 	Іловайськ 	Донецька область 	17 620 	1869 	10.80
50px 	Інкерман 	м. Севастополь, міськрада 	10 628 	Шаблон:Sort 	2.00
50px 	Ірміно 	Луганська область 	13 053 	1808 	19.00
50px 	Ірпінь 	Київська область 	40 593 	1903 	110.83
50px 	Іршава 	Закарпатська область 	9 515 	1341 	15.80
50px 	Ічня 	Чернігівська область 	12 780 	Шаблон:Sort 	16.16
